Name;Position;School;Stars;Rating
Bryce Underwood;QB;Michigan;5;0.9998
Keelon Russell;QB;Alabama;5;0.9997
Dakorien Moore;WR;Oregon;5;0.9981
Tavien St. Clair;QB;Ohio State;5;0.9968
Harlem Berry;RB;LSU;5;0.9919
Kaliq Lockett;WR;Texas;5;0.9908
Jerome Myles;WR;Texas A&M;5;0.9884
Talyn Taylor;WR;Georgia;5;0.9877
Quincy Porter;WR;Ohio State;5;0.9873
Husan Longstreet;QB;USC;5;0.9868
Deuce Knight;QB;Auburn;5;0.9862
Elyiss Williams;TE;Georgia;5;0.9854
Vernell Brown III;WR;Florida;5;0.9852
Caleb Cunningham;WR;Ole Miss;5;0.984
Dallas Wilson;WR;Florida;4;0.9827
Linkon Cure;TE;Kansas State;4;0.9816
Jaime Ffrench;WR;Texas;4;0.979
Michael Terry III;RB;Texas;4;0.9789
Julian Lewis;QB;Colorado;4;0.9762
Akylin Dear;RB;Alabama;4;0.9729
Andrew Olesh;TE;Penn State;4;0.9702
Da'Saahn Brame;TE;Tennessee;4;0.9682
Jaron Keawe Sagapolutele;QB;California;4;0.9662
Gideon Davidson;RB;Clemson;4;0.9657
Ousmane Kromah;RB;Florida State;4;0.9622
Travis Smith Jr;WR;Tennessee;4;0.9551
Bryce Baker;QB;North Carolina;4;0.9549
Nick Townsend;TE;Texas;4;0.9539
CJ Wiley;WR;Georgia;4;0.953
Matt Zollers;QB;Missouri;4;0.9527
Donovan Olugbode;WR;Missouri;4;0.9517
Anthony Rogers;RB;Ohio State;4;0.9505
Malik Washington;QB;Maryland;4;0.9503
Daylan McCutcheon;WR;Texas;4;0.9488
Malik Clark;WR;South Carolina;4;0.948
Derick Smith;WR;Auburn;4;0.9472
Cortez Mills;WR;Nebraska;4;0.9463
Andrew Marsh;WR;Michigan;4;0.9448
KaMario Taylor;QB;Mississippi State;4;0.9444
Elijah Thomas;WR;Oklahoma;4;0.9441
Joshua Moore;WR;Miami;4;0.9435
James Flanigan;TE;Notre Dame;4;0.9434
Derek Meadows;WR;Alabama;4;0.9434
Kiotti Armstrong;TE;Texas A&M;4;0.9425
Ryan Montgomery;QB;Georgia;4;0.9408
Shekai Mills-Knight;RB;Ole Miss;4;0.9366
Girard Pringle Jr;RB;Miami;4;0.9359
Dierre Hill;RB;Oregon;4;0.9356
George MacIntyre;QB;Tennessee;4;0.9355
JT Lindsey;RB;LSU;4;0.9353
Jalen Cooper;WR;SMU;4;0.935
KJ Lacey;QB;Texas;4;0.9336
Cooper Perry;WR;Oregon;4;0.9329
TaRon Francis;WR;LSU;4;0.9329
Bo Jackson;RB;Ohio State;4;0.932
Marquise Davis;RB;Missouri;4;0.9319
Kaleb Edwards;TE;Alabama;4;0.9318
Donovan Murph;WR;South Carolina;4;0.9316
Ethan Barbour;TE;Georgia;4;0.9306
Naeshaun Montgomery;WR;Florida;4;0.9304
Jordon Davison;RB;Oregon;4;0.9299
James Simon;RB;Texas;4;0.9298
Jayvan Boggs;WR;Florida State;4;0.9288
Marquise Henderson;RB;Clemson;4;0.9283
Lotzeir Brooks;WR;Alabama;4;0.9276
Antwann Hill;QB;Memphis;4;0.9272
Akili Smith Jr;QB;Oregon;4;0.9264
Kelshaun Johnson;WR;Texas A&M;4;0.9257
Brady Hart;QB;Texas A&M;4;0.9254
JonAnthony Hall;WR;Stanford;4;0.9254
Byron Louis;RB;Florida;4;0.9253
Jacob Washington;WR;Michigan;4;0.9251
Nate Roberts;TE;Ohio State;4;0.9233
Vander Ploog;TE;Oregon;4;0.9218
Alvin Henderson;RB;Auburn;4;0.9214
Adam Schobel;QB;TCU;4;0.921
Mikkel Skinner;TE;Kentucky;4;0.9207
Terry Shelton;WR;TCU;4;0.9187
Jordon Gidron;WR;South Carolina;4;0.9184
Luke Nickel;QB;Miami;4;0.9171
TJ Lateef;QB;Nebraska;4;0.9158
Tramell Jones Jr;QB;Florida;4;0.9146
Thomas Blackshear;WR;Georgia;4;0.9137
Cameron Dyer;QB;Arizona State;4;0.9135
Brock Schott;TE;Miami;4;0.9113
Winston Watkins Jr;WR;Ole Miss;4;0.9113
Tory Blaylock;RB;Oklahoma;4;0.9112
Radarious Jackson;WR;Tennessee;4;0.9111
Thomas Meyer;TE;Iowa;4;0.9109
Isaiah Mizell;WR;Arizona;4;0.9106
Madden Iamaleava;QB;Arkansas;4;0.9105
Phillip Bell;WR;Ohio State;4;0.9093
Ty Hawkins;QB;SMU;4;0.9091
Jerel Bolder;WR;NC State;4;0.9091
Michael Turner;RB;Baylor;4;0.9077
Bodpegn Miller;WR;Ohio State;4;0.9076
Marshall Pritchett;TE;Alabama;4;0.9075
Jasper Parker;RB;Michigan;4;0.9075
Carter Smith;QB;Wisconsin;4;0.9073
Karson Cox;RB;UCLA;4;0.9068
Jabree Wallace-Coleman;RB;Penn State;4;0.9061
Quentin Gibson;WR;Colorado;4;0.9053
Nolan James;RB;Notre Dame;4;0.9051
Alex Manske;QB;Iowa State;4;0.9049
Landon Roldan;WR;Georgia;4;0.9049
Adrian Wilson;WR;Colorado;4;0.9048
Taevion Swint;RB;UCF;4;0.9038
Waltez Clark;RB;Florida;4;0.9032
Emmanuel Choice;WR;Oklahoma;4;0.9027
Isaiah Mozee;WR;Nebraska;4;0.9026
Matt Henderson;TE;Penn State;4;0.9024
Bo Walker;RB;Georgia;4;0.9021
Brody Lennon;TE;Ohio State;4;0.902
Hollis Davidson;TE;Auburn;4;0.9013
Corey Simms;WR;USC;4;0.9012
Shamarius Peterkin;WR;Virginia Tech;4;0.9011
AJ La;TE;Arizona State;4;0.9008
Brian Rowe;WR;South Carolina;4;0.9007
Jeff Exinor;TE;Penn State;4;0.9004
Daylon Singleton;WR;SMU;4;0.9003
Jamarion Morrow;RB;Texas A&M;4;0.8999
Luka Gilbert;TE;Miami;4;0.8997
Tae'shaun Gelsey;TE;Florida State;4;0.8997
Marcus Harris;WR;Washington;4;0.8996
Romero Ison;WR;USC;4;0.8994
Malachi Toney;WR;Miami;4;0.8993
Tristian Gentry;WR;Texas Tech;4;0.8983
De'zie Jones;WR;Ohio State;4;0.8981
Quanell Farrakhan Jr;WR;Colorado;4;0.8975
Jack Van Dorselaer;TE;Tennessee;4;0.8975
Chris Lawson;WR;Washington;4;0.8973
Michael Thomas III;WR;Rutgers;4;0.8973
Lex Cyrus;WR;South Carolina;4;0.8972
Blake Hebert;QB;Notre Dame;4;0.8968
Jamarion Parker;RB;Nebraska;4;0.8963
John David LaFleur;TE;LSU;4;0.8958
Brendon Haygood;RB;Missouri;4;0.8955
Chase Loftin;TE;Florida State;4;0.895
Lyrick Samuel;WR;Penn State;4;0.8948
JP Powell;RB;Georgia Tech;4;0.8947
Rickey Stewart;RB;Texas;4;0.8942
Daune Morris;RB;Tennessee;4;0.8942
Kevin Sperry;QB;Florida State;4;0.8939
Jeff Overton;RB;Virginia Tech;4;0.8935
Bear Bachmeier;QB;Stanford;4;0.8933
Tanook Hines;WR;USC;4;0.8933
Tiqwai Hayes;RB;Penn State;4;0.8933
Michael Dever;WR;Texas Tech;4;0.8931
Elijah Burress;WR;Notre Dame;4;0.8929
Samari Reed;WR;Ole Miss;4;0.8926
Bryson Jones;WR;Texas Tech;4;0.8925
Deondrae Riden;RB;Texas A&M;4;0.8925
Nate Sheppard;RB;Duke;4;0.8925
Dramekco Green;RB;SMU;4;0.8918
Jackson Kollock;QB;Minnesota;4;0.8917
Harry Dalton;RB;USC;4;0.8913
Lloyd Jones;QB;Texas Tech;4;0.8911
Ed Small;WR;TCU;4;0.8911
Micah Matthews;WR;Virginia Tech;4;0.8908
Daylyn Upshaw;WR;Miami;4;0.8903
Caden Knighten;RB;Baylor;4;0.8903
Donovan Johnson;RB;Michigan;3;0.89
Raycine Guillory;RB;Utah;3;0.89
Raiden Vines-Bright;WR;Washington;3;0.8894
Jace Clarizio;RB;Michigan State;3;0.8894
Jaylen McGill;RB;North Carolina;3;0.8893
Dejerrian Miller;WR;Kentucky;3;0.8892
Tristan Tia;QB;Oregon State;3;0.8885
Robert McDaniel;QB;UCLA;3;0.8883
Taz Williams Jr;WR;Baylor;3;0.8883
Eugene Hilton Jr;WR;Wisconsin;3;0.8883
Grayson Wilson;QB;Arkansas;4;0.888
Jaivon Solomon;WR;Duke;3;0.8875
Kamran Williams;RB;UNLV;3;0.8874
