Player;College;Position;ADP
Micah Alejado;Hawaii;QB;51.5
Dylan Carson;Air Force;RB;52.9
Waymond Jordan;USC;RB;58.5
Matthew Coleman;San Jose State;WR;59.8
David Amador;UTSA;WR;65.6
Kamari Moulton;Iowa;RB;79.1
Emmett Johnson;Nebraska;RB;93.2
Nicholas Cenacle;Hawaii;WR;93.2
Adam Randall;Clemson;RB;97.4
Gregory Desrosiers;Memphis;RB;107.5
Caleb Douglas;Texas Tech;WR;107.6
Zevi Eckhaus;Washington State;QB;107.7
Caullin Lacy;Louisville;WR;108.4
Scottre Humphrey;New Mexico;RB;115.5
Damien Taylor;Ole Miss;RB;122.9
Ian Strong;Rutgers;WR;125.2
Miles Coleman;North Texas;WR;128.6
Dakorien Moore;Oregon;WR;145.7
Carlos Hernandez;Wake Forest;WR;151.8
Zach Palmer-Smith;Louisiana-Monroe;RB;152.4
Reese Poffenbarger;North Texas;QB;155.9
Rashad Amos;Georgia State;RB;156.9
Devin Voisin;South Alabama;WR;158.8
Keagan Johnson;New Mexico;WR;164
Jaivian Thomas;UCLA;RB;180.4
Darrell Gill;Syracuse;WR;189.7
Nicco Marchiol;West Virginia;QB;191.2
Chase Hendricks;Ohio;WR;194.6
Maverick McIvor;Western Kentucky;QB;197.5
Brandon High;California;RB;198
Arnold Barnes;Tulane;RB;200.5
Peyton Jones;Duke;RB;204
Anthony Smith;East Carolina;WR;204.9
Vaughn Blue;Liberty;RB;209.1
C.J. Smith;Memphis;WR;213.2
Keshaun Singleton;South Florida;WR;214.7
Remy Patson;Texas;WR;217
Rara Thomas;Troy;WR;220
Durell Robinson;Auburn;RB;220.8
Jalil Farooq;Maryland;WR;222
Turbo Richard;Boston College;RB;222.9
Treyshun Hurry;Louisville;WR;223.5
Hogan Hansen;Michigan;TE;223.5
QueSean Brown;Duke;WR;226.6
Freddie Brock;Georgia State;RB;228.5
Landon Sides;North Texas;WR;228.6
Louis Brown;Baylor;WR;229.8
DJ Butler;Houston;RB;231
Deion Colzie;Miami (OH);WR;232
Julian Gray;Liberty;RB;233.3
Yamir Knight;SMU;WR;238
Lance Mason;Wisconsin;TE;238.8
Kadarius Calloway;New Mexico State;RB;241
Jaylen Mbakwe;Alabama;WR;242
Anthony Evans;Mississippi State;WR;244
Christian Abney;Illinois;TE;244
Akylin Dear;Alabama;RB;245
Myles Montgomery;UCF;RB;246.4
Terry Lockett Jr.;Eastern Michigan;WR;246.8
Justin Bowick;Illinois;WR;247.2
Lincoln Pare;Texas State;RB;249.1
Rodney Tisdale;Western Kentucky;QB;251.7
Anthony Eager;South Alabama;WR;254.7
Cam Vaughn;West Virginia;WR;255
Danny Scudero;San Jose State;WR;255.6
Myles Butler;Middle Tennessee;WR;258.5
DShaun Ford;Louisiana-Monroe;RB;261.6
Trent Howland;Oklahoma State;RB;263
Dewayne Coleman;Army;QB;264.6
Nolan Ray;Maryland;RB;265.9
Rocky Beers;Colorado State;TE;265.9
KD Hutchinson;Western Kentucky;WR;265.9
Gemari Sands;Florida Atlantic;RB;266
Tucker Parks;Western Kentucky;QB;267
Matthew Henry;Western Kentucky;WR;268.8
Tayvion Galloway;Middle Tennessee;TE;269
Malachi Riley;San Jos? State;WR;269.3
