Round;Pick;Overall Pick;Position;Player Name;Team;Manager;;;;;
1;1;1;;;;Monte Grande State Rigids;;;;;
1;2;2;;;;Little Giants;;;;;
1;3;3;;;;BananaPetroleo State;;;;;
1;4;4;;;;The K Nasty;;;;;
1;5;5;;;;La Chosia NCAA MTF;;;;;
1;6;6;;;;Sabermetrics 101;;;;;
1;7;7;;;;Sack State;;;;;
1;8;8;;;;Gran Miel SU;;;;;
1;9;9;;;;Universidad de La Matanza;;;;;
1;10;10;;;;Ex Hincha de los Pats;;;;;
1;11;11;;;;Chilenos Zementerios;;;;;
1;12;12;;;;Gonnet State Pumitas;;;;;
1;13;13;;;;MTF NCAA BO State;;;;;
1;14;14;;;;The Giannis Rams;;;;;
2;1;15;;;;Gran Miel SU;;;;;
2;2;16;;;;The Giannis Rams;;;;;
2;3;17;;;;BananaPetroleo State;;;;;
2;4;18;;;;;;;;;
2;5;19;;;;;;;;;
2;6;20;;;;;;;;;
2;7;21;;;;;;;;;
2;8;22;;;;;;;;;
2;9;23;;;;;;;;;
2;10;24;;;;;;;;;
2;11;25;;;;;;;;;
2;12;26;;;;;;;;;
2;13;27;;;;;;;;;
2;14;28;;;;;;;;;
3;1;29;;;;Monte Grande State Rigids;;;;;
3;2;30;;;;Little Giants;;;;;
3;3;31;;;;BananaPetroleo State;;;;;
3;4;32;;;;The K Nasty;;;;;
3;5;33;;;;La Chosia NCAA MTF;;;;;
3;6;34;;;;Sabermetrics 101;;;;;
3;7;35;;;;Sack State;;;;;
3;8;36;;;;Gran Miel SU;;;;;
3;9;37;;;;Universidad de La Matanza;;;;;
3;10;38;;;;Ex Hincha de los Pats;;;;;
3;11;39;;;;Chilenos Zementerios;;;;;
3;12;40;;;;Gonnet State Pumitas;;;;;
3;13;41;;;;MTF NCAA BO State;;;;;
3;14;42;;;;The Giannis Rams;;;;;
4;1;43;;;;The Giannis Rams;;;;;
4;2;44;;;;BananaPetroleo State;;;;;
4;3;45;;;;Universidad de La Matanza;;;;;
4;4;46;;;;La Chosia NCAA MTF;;;;;
4;5;47;;;;;;;;;
4;6;48;;;;;;;;;
4;7;49;;;;;;;;;
4;8;50;;;;;;;;;
4;9;51;;;;;;;;;
4;10;52;;;;;;;;;
4;11;53;;;;;;;;;
4;12;54;;;;;;;;;
4;13;55;;;;;;;;;
4;14;56;;;;;;;;;
5;1;57;;;;Monte Grande State Rigids;;;;;
5;2;58;;;;Little Giants;;;;;
5;3;59;;;;BananaPetroleo State;;;;;
5;4;60;;;;The K Nasty;;;;;
5;5;61;;;;La Chosia NCAA MTF;;;;;
5;6;62;;;;Sabermetrics 101;;;;;
5;7;63;;;;Sack State;;;;;
5;8;64;;;;Gran Miel SU;;;;;
5;9;65;;;;Universidad de La Matanza;;;;;
5;10;66;;;;Sack State;;;;;
5;11;67;;;;Chilenos Zementerios;;;;;
5;12;68;;;;Gonnet State Pumitas;;;;;
5;13;69;;;;MTF NCAA BO State;;;;;
5;14;70;;;;The Giannis Rams;;;;;
6;1;71;;;;The Giannis Rams;;;;;
6;2;72;;;;Universidad de La Matanza;;;;;
6;3;73;;;;La Chosia NCAA MTF;;;;;
6;4;74;;;;Sack State;;;;;
6;5;75;;;;;;;;;
6;6;76;;;;;;;;;
6;7;77;;;;;;;;;
6;8;78;;;;;;;;;
6;9;79;;;;;;;;;
6;10;80;;;;;;;;;
6;11;81;;;;;;;;;
6;12;82;;;;;;;;;
6;13;83;;;;;;;;;
6;14;84;;;;;;;;;
7;1;85;;;;Monte Grande State Rigids;;;;;
7;2;86;;;;Little Giants;;;;;
7;3;87;;;;BananaPetroleo State;;;;;
7;4;88;;;;The K Nasty;;;;;
7;5;89;;;;La Chosia NCAA MTF;;;;;
7;6;90;;;;Sabermetrics 101;;;;;
7;7;91;;;;Sack State;;;;;
7;8;92;;;;Gran Miel SU;;;;;
7;9;93;;;;Universidad de La Matanza;;;;;
